epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.392,1.26933,1.34327,1.19872,0.94377,0.87388,0.93646,0.56947,1.33698,0.75644,1.25686,0.000666163,0.000666163,0.000666163
2,792.055,1.26332,0.79484,1.23045,0.94031,0.90147,0.94679,0.58878,1.33299,0.74884,1.28082,0.00126685,0.00126685,0.00126685
3,1129.37,1.24487,0.74596,1.23173,0.95005,0.86541,0.92169,0.55533,1.396,0.75692,1.34741,0.00180155,0.00180155,0.00180155
4,7380.86,1.21089,0.70193,1.21574,0.95688,0.92308,0.96228,0.6282,1.25247,0.58248,1.23511,0.001703,0.001703,0.001703
5,7717.46,1.19293,0.66478,1.20707,0.97566,0.92112,0.96317,0.62893,1.26931,0.5712,1.23866,0.001604,0.001604,0.001604
6,8014.08,1.16853,0.63137,1.19037,0.96168,0.92986,0.96661,0.6355,1.24806,0.54809,1.21941,0.001505,0.001505,0.001505
7,8311.95,1.14057,0.61134,1.1832,0.95908,0.93437,0.96716,0.6538,1.20382,0.52175,1.20644,0.001406,0.001406,0.001406
8,8615.54,1.12979,0.59218,1.17496,0.97312,0.9348,0.96947,0.65655,1.19458,0.5129,1.19309,0.001307,0.001307,0.001307
9,8926.7,1.12129,0.57408,1.17129,0.96799,0.94653,0.97041,0.66229,1.17085,0.48227,1.17573,0.001208,0.001208,0.001208
10,9224.17,1.09986,0.558,1.15952,0.97949,0.94061,0.97545,0.67465,1.151,0.46715,1.16998,0.001109,0.001109,0.001109
11,9565.85,1.0893,0.48119,1.17897,0.97323,0.93777,0.97671,0.67457,1.15735,0.4812,1.18411,0.00101,0.00101,0.00101
12,9859.51,1.07512,0.46817,1.17125,0.97811,0.94332,0.97806,0.67738,1.16236,0.45661,1.18703,0.000911,0.000911,0.000911
13,10156.6,1.05691,0.45191,1.15505,0.98292,0.94474,0.97972,0.6826,1.14985,0.45546,1.16733,0.000812,0.000812,0.000812
14,10449.6,1.03891,0.43755,1.14543,0.97518,0.95122,0.97972,0.68729,1.13444,0.44018,1.16392,0.000713,0.000713,0.000713
15,10745.3,1.02744,0.42491,1.1375,0.98057,0.94698,0.98107,0.69124,1.1318,0.43236,1.15497,0.000614,0.000614,0.000614
16,11040.2,1.01104,0.41194,1.12135,0.9778,0.95023,0.98278,0.69429,1.1282,0.4304,1.15242,0.000515,0.000515,0.000515
17,11332.1,0.99906,0.40144,1.11492,0.97715,0.95638,0.98328,0.69465,1.13011,0.41923,1.15728,0.000416,0.000416,0.000416
18,11624.7,0.98285,0.38935,1.10821,0.97302,0.96424,0.98355,0.69368,1.13188,0.41376,1.15508,0.000317,0.000317,0.000317
19,11920.3,0.97115,0.379,1.10039,0.97796,0.9606,0.9836,0.6957,1.12825,0.41135,1.15481,0.000218,0.000218,0.000218
20,12214.7,0.95495,0.36791,1.08958,0.97693,0.96248,0.98391,0.69503,1.12164,0.4054,1.15296,0.000119,0.000119,0.000119
